Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0135.a4.txt,1901.2345679012346,1148.148148148148,814.8148148148149,654.320987654321,0,0,2
2061.a4.txt,1560.3644646924831,1207.2892938496584,865.6036446469247,421.4123006833713,0,1,3
1067.a4.txt,1715.7490396927017,1177.97695262484,717.0294494238157,512.1638924455825,0,2,0
0216.a4.txt,1716.0367722165477,1542.3901940755875,561.7977528089888,347.2931562819203,0,0,4
3042.a4.txt,1459.7701149425288,1528.735632183908,632.1839080459771,678.16091954023,0,0,0
1032.a4.txt,1370.4994192799072,1509.8722415795587,801.3937282229964,650.4065040650407,0,1,1
2062.a4.txt,1446.4692482915716,1435.0797266514805,717.5398633257403,489.74943052391797,0,0,1
0238.a4.txt,1668.4491978609626,1475.9358288770052,534.75935828877,352.94117647058823,0,0,1
2067.a4.txt,1539.424280350438,1314.1426783479349,688.360450563204,513.1414267834793,0,0,1
0102.a4.txt,1841.8079096045199,1310.734463276836,666.6666666666666,406.77966101694915,0,0,5
4028.a4.txt,1662.735849056604,1485.8490566037735,601.4150943396227,577.8301886792453,0,0,2
1018.a4.txt,1719.3308550185873,1384.7583643122678,734.2007434944238,492.5650557620818,0,0,2
1065.a4.txt,1543.026706231454,1384.7675568743816,830.860534124629,464.8862512363996,0,0,1
2048.a4.txt,1976.4279238440615,1214.868540344515,861.2873980054397,389.84587488667273,0,0,3
2019.a4.txt,1710.6773823191734,1423.6509758897819,539.609644087256,459.2422502870264,0,0,1
1008.a4.txt,1855.2036199095023,1142.5339366515836,814.4796380090498,633.4841628959276,0,2,3
0119.a4.txt,1763.9902676399026,1545.0121654501218,535.279805352798,413.625304136253,0,0,4
2042.a4.txt,1710.3762827822122,1220.0684150513111,763.9680729760548,319.2702394526796,0,0,0
0161.a4.txt,1893.424036281179,1258.5034013605443,850.3401360544217,328.7981859410431,0,0,4
0234.a4.txt,1911.9496855345913,1157.2327044025158,880.503144654088,616.3522012578617,0,0,2
2022.a4.txt,1686.2170087976538,1407.6246334310852,571.8475073313783,410.55718475073314,0,0,2
0213.a4.txt,2024.2424242424242,1248.4848484848485,593.939393939394,569.6969696969696,0,1,3
1074.a4.txt,1632.870864461046,1227.3212379935967,875.1334044823907,533.6179295624333,0,0,1
4023.a4.txt,1506.6964285714284,1316.9642857142858,714.2857142857142,647.3214285714287,0,1,0
0218.a4.txt,1484.1849148418494,1399.0267639902677,742.0924574209247,255.47445255474452,0,1,1
2064.a4.txt,1668.757841907152,1392.7227101631117,627.3525721455459,414.05269761606024,0,0,0
0190.a4.txt,1568.627450980392,1237.7450980392157,563.7254901960785,404.4117647058824,0,1,5
2030.a4.txt,1638.0182002022245,1486.3498483316482,566.2285136501516,495.4499494438827,0,0,2
0237.a4.txt,1707.0217917675545,1380.145278450363,835.3510895883777,532.6876513317192,0,0,1
2055.a4.txt,1747.8152309612985,1173.5330836454432,699.1260923845194,424.46941323345817,0,0,0
1121.a4.txt,1891.3043478260868,1315.2173913043478,684.7826086956521,652.1739130434783,0,0,2
2014.a4.txt,1679.2249730893432,1313.2400430570506,828.8482238966631,495.1560818083961,0,0,1
0105.a4.txt,1567.63590391909,1276.864728192162,606.826801517067,809.1024020227561,0,0,2
0139.a4.txt,1618.7989556135772,966.0574412532637,887.7284595300262,352.4804177545692,0,0,2
4045.a4.txt,1812.9988597491447,1288.4834663625995,672.7480045610034,672.7480045610034,0,0,0
0108.a4.txt,1684.4349680170576,1524.5202558635397,724.9466950959488,458.42217484008535,0,0,2
0204.a4.txt,1746.905089408528,1279.229711141678,632.7372764786795,440.16506189821183,0,0,1
0222.a4.txt,1867.7494199535963,1357.308584686775,672.8538283062645,475.6380510440835,0,0,3
0219.a4.txt,1446.3840399002495,1408.9775561097256,910.2244389027433,735.6608478802992,0,0,1
1012.a4.txt,2051.8867924528304,1132.0754716981132,919.8113207547169,424.5283018867924,0,0,1
0194.a4.txt,1936.9894982497083,1365.2275379229873,665.1108518086347,455.07584597432907,0,0,3
1076.a4.txt,1880.3418803418804,1271.3675213675212,715.8119658119658,352.56410256410254,0,1,1
0235.a4.txt,1769.2307692307693,1410.2564102564102,794.8717948717948,358.97435897435895,0,0,4
2072.a4.txt,1881.720430107527,1311.8279569892475,720.4301075268817,537.6344086021505,0,0,5
0227.a4.txt,2159.309021113244,1391.5547024952016,508.637236084453,403.0710172744722,0,0,3
0224.a4.txt,1536.7807720320468,1310.9978150036416,779.3153678077202,429.7159504734159,0,0,5
1095.a4.txt,1815.7543391188253,1361.8157543391187,814.4192256341789,694.2590120160214,0,0,0
0192.a4.txt,2068.965517241379,1391.6256157635469,517.2413793103448,418.7192118226601,0,0,2
0121.a4.txt,1641.6416416416416,1281.2812812812813,710.7107107107106,540.5405405405405,0,0,3
2011.a4.txt,2134.8314606741574,1101.123595505618,943.8202247191011,449.438202247191,0,0,2
